nu_cm1,Cs_cm2_molec_cm1,Cf_cm2_molec_cm1,self_texp
9840.0,2.249000e-30,1.489000e-31,4.669000
9850.0,2.323000e-30,1.562000e-31,4.666000
9860.0,2.408000e-30,1.665000e-31,4.639000
9870.0,2.461000e-30,1.814000e-31,4.603000
9880.0,2.536000e-30,2.002000e-31,4.531000
9890.0,2.581000e-30,2.318000e-31,4.493000
9900.0,2.615000e-30,2.700000e-31,4.449000
9910.0,2.721000e-30,2.763000e-31,4.411000
9920.0,2.782000e-30,2.343000e-31,4.361000
9930.0,2.866000e-30,1.951000e-31,4.304000
9940.0,2.938000e-30,1.608000e-31,4.269000
9950.0,2.958000e-30,1.422000e-31,4.212000
9960.0,3.011000e-30,1.321000e-31,4.170000
9970.0,3.155000e-30,1.330000e-31,4.152000
9980.0,3.237000e-30,1.190000e-31,4.133000
9990.0,3.589000e-30,1.130000e-31,4.119000
10000.0,3.838000e-30,1.016000e-31,4.100000
10010.0,4.083000e-30,9.038000e-32,4.105000
10020.0,4.354000e-30,7.965000e-32,4.096000
10030.0,4.745000e-30,7.894000e-32,4.042000
10040.0,5.148000e-30,8.265000e-32,3.964000
10050.0,5.648000e-30,9.273000e-32,3.876000
10060.0,6.194000e-30,1.058000e-31,3.779000
10070.0,6.748000e-30,1.219000e-31,3.652000
10080.0,7.566000e-30,1.548000e-31,3.513000
10090.0,8.421000e-30,1.833000e-31,3.359000
10100.0,9.427000e-30,2.264000e-31,3.201000
10110.0,1.042000e-29,2.884000e-31,3.075000
10120.0,1.165000e-29,3.659000e-31,2.935000
10130.0,1.341000e-29,4.776000e-31,2.775000
10140.0,1.518000e-29,6.271000e-31,2.682000
10150.0,1.686000e-29,7.958000e-31,2.601000
10160.0,2.036000e-29,1.032000e-30,2.613000
10170.0,2.362000e-29,1.338000e-30,2.640000
10180.0,2.811000e-29,1.802000e-30,2.663000
10190.0,3.296000e-29,2.366000e-30,2.730000
10200.0,4.070000e-29,2.933000e-30,2.820000
10210.0,4.695000e-29,3.923000e-30,2.936000
10220.0,6.152000e-29,5.504000e-30,3.052000
